,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,SEVERITY_CODE,BLEACHING_SEVERITY,SOURCE,COUNTRY_CODE
137,2131,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.8333333333333,45.2166666666667,,1980s,2,1,ReefBase,COM
1984,1813,Americas,Southern Tropical America,Panama,Contadora Island,8.61666666666667,-79.05,,1980s,-1,1,ReefBase,PAN
2172,2357,Americas,U.S. Caribbean,Florida (USA),Looe Key Reef,24.6166666666667,-81.4,,1980s,2,1,ReefBase,USA_FLO
1949,2033,Americas,Southern Tropical America,Ecuador,Onslow Island ( Devil's Crown ),-1.21666666666667,-90.3,5.0,1980s,2,1,ReefBase,ECU
1885,2031,Americas,Southern Tropical America,Colombia,Rosario Islands ( Islas del Rosario ),10.15,-75.75,,1980s,-1,1,ReefBase,COL
1981,1818,Americas,Southern Tropical America,Panama,Chiriqui Gulf ( Golfo de Chiriqui ),8.0,-82.3333333333333,,1980s,3,1,ReefBase,PAN
2569,2090,Asia,Southeast Asia,Indonesia,Karimun Jawa,-5.86666666666667,110.333333333333,5.0,1980s,-1,1,ReefBase,IDN
1344,2370,Americas,Northern Caribbean,Bahamas,Great Bahama Bank,25.0,-78.2,9.0,1980s,-1,1,ReefBase,BHS
1869,2044,Americas,Southern Tropical America,Colombia,Gorgona Island ( Isla de Gorgona ),2.98333333333333,-78.2,,1980s,-1,1,ReefBase,COL
2058,2106,Americas,Southern Tropical America,Panama,Uva Island,7.81666666666667,-81.7666666666667,,1980s,3,1,ReefBase,PAN
2050,2104,Americas,Southern Tropical America,Panama,Secas Islands,7.95,-82.0166666666667,,1980s,3,1,ReefBase,PAN
1931,2042,Americas,Southern Tropical America,Ecuador,CDRS ( Charles Darwin Research Station ),-0.741666666666667,-90.305,,1980s,3,1,ReefBase,ECU
2048,1831,Americas,Southern Tropical America,Panama,San Blas ( Kuna Yala ),9.55,-78.8666666666667,6.0,1980s,3,1,ReefBase,PAN
1857,2098,Americas,Southern Tropical America,Colombia,Colombia,7.0,-74.0,,1980s,-1,1,ReefBase,COL
2161,2345,Americas,U.S. Caribbean,Florida (USA),Key Largo,25.15,-80.2833333333333,,1980s,-1,1,ReefBase,USA_FLO
1892,1830,Americas,Southern Tropical America,Colombia,San Bernardo Islands ( Islas de San Bernardo ),9.75,-75.8333333333333,,1980s,-1,1,ReefBase,COL
1891,1829,Americas,Southern Tropical America,Colombia,San Bernardo Islands ( Islas de San Bernardo ),9.75,-75.8333333333333,,1980s,-1,1,ReefBase,COL
1920,1835,Americas,Southern Tropical America,Costa Rica,Punta Cocles,9.91666666666667,-82.8,6.0,1980s,-1,1,ReefBase,CRI
1932,2034,Americas,Southern Tropical America,Ecuador,Champion Island,-1.23333333333333,-90.3833333333333,5.0,1980s,2,1,ReefBase,ECU
1858,646,Americas,Southern Tropical America,Colombia,Colombia - Caribbean,10.1,-76.0,,1980s,3,1,"GCRMN 2000. Chapter 18, Table p340",COL
1922,2019,Americas,Southern Tropical America,Costa Rica,Punta Mona,9.73333333333333,-82.8166666666667,6.0,1980s,-1,1,ReefBase,CRI
2056,1814,Americas,Southern Tropical America,Panama,Uraba Island,8.78333333333333,-79.5333333333333,,1980s,-1,1,ReefBase,PAN
2042,734,Americas,Southern Tropical America,Panama,Panama - Pacific,7.7,-82.058,,1980s,3,1,GCRMN 2000. Chapter 18,PAN
5973,2341,Pacific,Southwest Pacific,New Caledonia,Reserve Speciale Tournante de Marine Faune,-22.4166666666667,166.333333333333,3.0,1980s,-1,1,ReefBase,NCL
1905,1825,Americas,Southern Tropical America,Costa Rica,Caño Island,8.71666666666667,-83.8666666666667,6.0,1980s,-1,1,ReefBase,CRI
2057,2105,Americas,Southern Tropical America,Panama,Uva Island,7.81666666666667,-81.7666666666667,,1980s,3,1,ReefBase,PAN
1916,2021,Americas,Southern Tropical America,Costa Rica,Manuel Antonio,9.38333333333333,-84.15,6.0,1980s,-1,1,ReefBase,CRI
1917,2018,Americas,Southern Tropical America,Costa Rica,Manzanillo,9.63333333333333,-82.6833333333333,6.0,1980s,-1,1,ReefBase,CRI
2046,1810,Americas,Southern Tropical America,Panama,Saboga Island,8.63333333333333,-79.0666666666667,,1980s,-1,1,ReefBase,PAN
5972,2334,Pacific,Southwest Pacific,New Caledonia,New Caledonia,-20.7166666666667,165.216666666667,,1980s,-1,1,ReefBase,NCL
2053,1815,Americas,Southern Tropical America,Panama,Taboga Island,8.8,-79.5666666666667,,1980s,-1,1,ReefBase,PAN
2039,1832,Americas,Southern Tropical America,Panama,Panama,8.25,-80.3666666666667,,1980s,-1,1,ReefBase,PAN
2049,2100,Americas,Southern Tropical America,Panama,Secas Islands,7.95,-82.0166666666667,,1980s,3,1,ReefBase,PAN
1906,1826,Americas,Southern Tropical America,Costa Rica,Caño Island,8.71666666666667,-83.8666666666667,6.0,1980s,-1,1,ReefBase,CRI
2333,2366,Asia,North and East Asia,Japan,Iriomote,24.3166666666667,123.883333333333,,1980s,-1,1,ReefBase,JPN
2059,2107,Americas,Southern Tropical America,Panama,Uva Island,7.81666666666667,-81.7666666666667,10.0,1980s,-1,1,ReefBase,PAN
3715,2295,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,GBR Central,-18.0,146.166666666667,,1980s,-1,1,ReefBase,AUS_GBR
5230,2242,Middle East,Persian Gulf,Kuwait,Umm al Maradim ( Umm al Maradem ),28.6333333333333,48.65,,1980s,-1,1,ReefBase,KWT
2359,2376,Asia,North and East Asia,Japan,Okinawa,26.5,128.0,6.0,1980s,3,1,ReefBase,JPN
225,2133,Americas,Eastern Caribbean,Barbados,Barbados,13.0391,-59.5231,,1980s,2,1,ReefBase,BRB
6174,2323,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kapalua,21.0166666666667,-156.666666666667,11.0,1980s,-1,1,ReefBase,USA_HAW
6182,2324,Pacific,US Pacific Islands,Hawaiian Islands (USA),Oahu,21.35,-157.933333333333,,1980s,3,1,ReefBase,USA_HAW
6181,2322,Pacific,US Pacific Islands,Hawaiian Islands (USA),Napili Bay,21.0,-156.683333333333,11.0,1980s,-1,1,ReefBase,USA_HAW
2385,2319,Asia,North and East Asia,Taiwan,Effluet ( Outfall ),21.9333333333333,120.733666666667,,1980s,3,1,ReefBase,TWN
136,2130,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.8333333333333,45.2166666666667,5.0,1980s,3,1,ReefBase,COM
2247,2281,Americas,U.S. Caribbean,Puerto Rico,Culebra Island,18.3,-65.2666666666667,,1980s,-1,1,ReefBase,PRI
6178,2309,Pacific,US Pacific Islands,Hawaiian Islands (USA),Maui Island,20.8,-156.316666666667,,1980s,3,1,ReefBase,USA_HAW
2337,2249,Asia,North and East Asia,Japan,Japan,30.0,130.0,,1980s,-1,1,ReefBase,JPN
6165,2325,Pacific,US Pacific Islands,Hawaiian Islands (USA),Hawaii,18.3833333333333,-154.633333333333,8.0,1980s,3,1,ReefBase,USA_HAW
2279,2279,Americas,U.S. Caribbean,Puerto Rico,Puerto Rico,17.8666666666667,-66.4333333333333,,1980s,-1,1,ReefBase,PRI
28,2052,Africa,Eastern Africa,Kenya,Kenya,-3.36666666666667,40.4833333333333,,1980s,-1,1,ReefBase,KEN
5183,2495,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Wreck Island Reef,-23.3333,151.964,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3750,2240,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Barrier Reef,-17.5,147.0,,1980s,-1,1,ReefBase,AUS_GBR
2200,3981,Americas,U.S. Caribbean,Florida (USA),Molasses,25.0,-80.372,8.0,1980s,2,1,"Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706",USA_FLO
3959,2432,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,John Brewer Reef,-18.6339,147.0534,,1980s,0,0,GBRMPA  Historical Bleaching Database,AUS_GBR
4000,2426,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Lady Elliot Reef,-18.6876,146.3348,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2499,2048,Asia,South Asia,Maldives,Maldives,3.5,73.0,,1980s,-1,1,ReefBase,MDV
1826,2316,Americas,Northern Caribbean,Turks and Caicos Islands,Grand Turk Cays,21.4166666666667,-71.1166666666667,,1980s,-1,1,ReefBase,TCA
1695,2297,Americas,Northern Caribbean,Dominican Republic,Dominican Republic,19.1666666666667,-69.5333333333333,,1980s,-1,1,ReefBase,DOM
4062,2435,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Lodestone Reef,-18.6973,147.1002,,1980s,0,0,GBRMPA  Historical Bleaching Database,AUS_GBR
1841,2317,Americas,Northern Caribbean,Turks and Caicos Islands,West Caicos,21.6666666666667,-72.4833333333333,12.0,1980s,-1,1,ReefBase,TCA
1829,2315,Americas,Northern Caribbean,Turks and Caicos Islands,Turks and Caicos,21.4,-71.1166666666667,,1980s,-1,1,ReefBase,TCA
3236,2488,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Barren Island Reef,-23.1649,151.079,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3237,2489,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Barren Island Reef,-23.1642,151.0697,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1775,2287,Americas,Northern Caribbean,Jamaica,Ocho Rios,18.4,-77.0833333333333,,1980s,-1,1,ReefBase,JAM
2317,2225,Americas,U.S. Caribbean,Virgin Islands (U.S.),US Virgin Islands,17.705,-64.693,,1980s,-1,1,"ReefBase old database
(Smith, A.H., C.S. Rogers and C. Bouchon, Status of Western Atlantic coral reefs in the Lesser Antilles,, p. 351-356. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium. Smithsonian Tropical Research Institute, Panama, 1.)",VIR
2138,3982,Americas,U.S. Caribbean,Florida (USA),Eastern Dry Rocks,24.54,-81.833,7.0,1980s,1,1,"Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706",USA_FLO
5173,2494,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Wilson Island Reef,-23.2924,151.8888,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2325,2247,Asia,North and East Asia,Japan,Amami-Gunto,28.0,129.333333333333,,1980s,3,1,ReefBase,JPN
1855,2070,Americas,Southern Tropical America,Colombia,Colombia,7.0,-74.0,,1980s,-1,1,"ReefBase old database
(Williams, E.H. Jr. and L. Bunkley- Williams, The world wide coral reef bleaching cycle and related sources of coral mortality.  Atoll Res. Bull. 335:1-71.)",COL
1345,2318,Americas,Northern Caribbean,Bahamas,Great Inagua Island,21.15,-73.5166666666667,,1980s,-1,1,ReefBase,BHS
3798,2485,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Halfway Island Reef,-23.2,150.9715,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3755,2484,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Keppel Island Reef,-23.1591,150.9566,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2386,2320,Asia,North and East Asia,Taiwan,Effluet ( Outfall ),21.9333333333333,120.733666666667,,1980s,3,1,ReefBase,TWN
1859,647,Americas,Southern Tropical America,Colombia,Colombia - Caribbean,10.1,-76.0,,1980s,2,1,"GCRMN 2000. Chapter 18, Table p340",COL
6179,2310,Pacific,US Pacific Islands,Hawaiian Islands (USA),Maui Island,20.8,-156.316666666667,,1980s,3,1,ReefBase,USA_HAW
6166,2326,Pacific,US Pacific Islands,Hawaiian Islands (USA),Hawaii,18.3833333333333,-154.633333333333,,1980s,3,1,ReefBase,USA_HAW
4115,2185,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Masthead Island Reef,-23.5367,151.7366,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2160,2372,Americas,U.S. Caribbean,Florida (USA),Key Largo,25.15,-80.2833333333333,,1980s,-1,1,ReefBase,USA_FLO
1354,2352,Americas,Northern Caribbean,Bahamas,Little San Salvador ( Little Island ),24.566,-75.9333333333333,,1980s,-1,1,"ReefBase old database
(Williams, E.H. Jr. and L. Bunkley- Williams, The world wide coral reef bleaching cycle and related sources of coral mortality., Atoll Res. Bull. 335:1-71.)",BHS
3817,2454,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Hardy Reef,-19.7636,149.2321,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2140,3980,Americas,U.S. Caribbean,Florida (USA),Elkhorn Control,25.393,-80.168,8.0,1980s,1,1,"Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706",USA_FLO
5176,2497,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Wistari Reef,-23.4713,151.8803,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2173,2358,Americas,U.S. Caribbean,Florida (USA),Looe Key Reef,24.6166666666667,-81.4,,1980s,-1,1,ReefBase,USA_FLO
2310,2227,Americas,U.S. Caribbean,Virgin Islands (U.S.),St. Croix,17.7333333333333,-64.7333333333333,,1980s,-1,1,ReefBase,VIR
2176,2557,Americas,U.S. Caribbean,Florida (USA),"Looe Key, Florida",25.15,-80.28,7.0,1980s,3,1,"Hudson, J. H. 1988.Coral bleaching at Looe Key National Park Marine Santuary, Florida. In Ogden, J. & R. Wicklund (ed.) Mass bleaching of coral reef in Carribean: A research strategy. National Undersea Research Programme Research Report 88-2",USA_FLO
3866,2496,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Heron Island Reef,-23.4509,151.9647,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
5509,2254,Pacific,Southeast and Central Pacific,French Polynesia,Moorea,-17.575,-149.783333333333,,1980s,-1,1,ReefBase,PYF
2169,3983,Americas,U.S. Caribbean,Florida (USA),Looe Key,24.616,-81.4,7.0,1980s,1,1,"Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706",USA_FLO
4007,2186,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Lady Musgrave Island Ree,-23.9054,152.4082,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1865,3973,Americas,Southern Tropical America,Colombia,Eastern Side of the Islas Pajarales Complex,9.803,-75.815,8.0,1980s,-1,1,"Lang, J. C., 1988.  Ecological and economic importance of coral reefs. Prepared statement for Committee on Appropriations, US Senate",COL
2146,2371,Americas,U.S. Caribbean,Florida (USA),Florida Reef Tract,25.2,-80.1666666666667,8.0,1980s,-1,1,ReefBase,USA_FLO
1348,3974,Americas,Northern Caribbean,Bahamas,Lee Stocking Island,23.77,-76.107,10.0,1980s,-1,1,"Lang, J. C., 1988.  Ecological and economic importance of coral reefs. Prepared statement for Committee on Appropriations, US Senate",BHS
1748,2553,Americas,Northern Caribbean,Jamaica,Discovery bay,18.4794,-77.3287,9.0,1980s,3,1,"Woodley, J.D. 1988. Coral Bleaching in Jamaica, 1987. In Ogden, J. & R. Wicklund (ed.) Mass bleaching of coral reef in Carribean: A research strategy. National Undersea Research Programme Research Report 88-2",JAM
4524,2428,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Pandora Reef,-18.8138,146.4327,,1980s,0,0,GBRMPA  Historical Bleaching Database,AUS_GBR
3890,2452,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Holbourne Island Reef,-19.7295,148.3633,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4620,2416,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Rib Reef,-18.4804,146.8729,,1980s,0,0,GBRMPA  Historical Bleaching Database,AUS_GBR
273,2126,Americas,Eastern Caribbean,Netherlands Antilles,Spaanse Water ( Spanish Water ),12.05,-68.8666666666667,,1980s,-1,1,ReefBase,ANT
3889,2451,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Holbourne Island Reef,-19.7248,148.3567,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1317,2355,Americas,Northern Caribbean,Bahamas,Bahamas,26.5333333333333,-76.9,,1980s,-1,1,ReefBase,BHS
280,2136,Americas,Eastern Caribbean,St. Lucia,St. Lucia,13.8333333333333,-61.0,,1980s,-1,1,ReefBase,LCA
